sr,title,link,guid,latitude,longitude,gid,monumentna,descriptio,location,district,state,asicircle,photo,mon_num,pb_name
1255,monuments2.fid-3f3c22b6_1667d4434db_49a5,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49a5,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49a5,18.259306,79.943279,14162,Ramappa temple,Ramappa temple,Palampet,Warangal - Rural,Telangana,Hyderabad Circle,HYDTS006.JPG,HYDTS006,HYD006
1256,monuments2.fid-3f3c22b6_1667d4434db_49a6,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49a6,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49a6,17.956232,79.615321,14163,"Warangal fort,defences and gateways","Warangal fort,defences and gateways",Warangal,Warangal - Rural,Telangana,Hyderabad Circle,HYDTS007.JPG,HYDTS007,HYD007
1257,monuments2.fid-3f3c22b6_1667d4434db_49a7,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49a7,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49a7,17.54583,78.014291,14164,Ancient mound,Ancient mound,Kondapur,Sangareddy,Telangana,Hyderabad Circle,HYDTS005.JPG,HYDTS005,HYD005
1258,monuments2.fid-3f3c22b6_1667d4434db_49a8,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49a8,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49a8,15.878093,78.135768,14165,Navabrahma Temples 1-3,Navabrahma Temples 1-3,Alampur,Gadwal,Telangana,Hyderabad Circle,HYDTS002A.JPG,HYDTS002A,HYD002A
1259,monuments2.fid-3f3c22b6_1667d4434db_49a9,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49a9,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49a9,15.877155,78.135678,14166,Navabrahma Temple 6,Navabrahma Temple 6,Alampur,Gadwal,Telangana,Hyderabad Circle,HYDTS105D.JPG,HYDTS002D,HYD002D
1260,monuments2.fid-3f3c22b6_1667d4434db_49aa,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49aa,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49aa,15.877721,78.135749,14167,NavabrahmaTemple 4,NavabrahmaTemple 4,Alampur,Gadwal,Telangana,Hyderabad Circle,HYDTS002B.JPG,HYDTS002B,HYD002B
1261,monuments2.fid-3f3c22b6_1667d4434db_49ab,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49ab,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49ab,15.877322,78.135269,14168,Navabrahma Temple 7-8,Navabrahma Temple 7-8,Alampur,Gadwal,Telangana,Hyderabad Circle,HYDTS002E.JPG,HYDTS002E,HYD002E
1262,monuments2.fid-3f3c22b6_1667d4434db_49ac,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49ac,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49ac,15.8777,78.134951,14169,Navabrahma Temples 9,Navabrahma Temples 9,Alampur,Gadwal,Telangana,Hyderabad Circle,HYDTS002F.JPG,HYDTS002F,HYD002F
1263,monuments2.fid-3f3c22b6_1667d4434db_49ad,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49ad,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49ad,15.877648,78.128689,14170,Kudali Sangameswara Temple,Kudali Sangameswara Temple,Alampur,Gadwal,Telangana,Hyderabad Circle,HYDTS002G.JPG,HYDTS002G,HYD002G
1264,monuments2.fid-3f3c22b6_1667d4434db_49ae,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49ae,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49ae,15.871575,78.122388,14171,Papanasi Group of Temples,Papanasi Group of Temples,Alampur,Gadwal,Telangana,Hyderabad Circle,HYDTS002H.JPG,HYDTS002H,HYD002H
1265,monuments2.fid-3f3c22b6_1667d4434db_49af,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49af,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49af,15.877397,78.135801,14172,NavabrahmaTemple 5,NavabrahmaTemple 5,Alampur,Gadwal,Telangana,Hyderabad Circle,HYDTS002C.JPG,HYDTS002C,HYD002C
1266,monuments2.fid-3f3c22b6_1667d4434db_49b0,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49b0,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49b0,24.958056,75.593611,10946,SHRINGAR CHAWRI,SHRINGAR CHAWRI,Badoli,CHITTAURGARH,Rajasthan,Jodhpur Circle,JDHRJ029.JPG,JDHRJ029,
1267,monuments2.fid-3f3c22b6_1667d4434db_49b1,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49b1,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49b1,28.688994,77.218835,12043,"Enclosure containing the grave of Lt. Edwards and others, murdered in 1857.","Enclosure containing the grave of Lt. Edwards and others, murdered in 1857.","Northern ridge near Flag Staff Tower, Civil near Naya Bazar and St. Stephen Hospital",North,Delhi,Delhi Mini Circle,DLMDL020.jpg,DLMDL020,DLM020
1268,monuments2.fid-3f3c22b6_1667d4434db_49b2,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49b2,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49b2,28.712117,77.228211,12044,Neighbouring Bridge Wazirabad,Neighbouring Bridge Wazirabad,Wazirabad,North,Delhi,Delhi Mini Circle,DLMDL148.jpg,DLMDL148,DLM148
1269,monuments2.fid-3f3c22b6_1667d4434db_49b3,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49b3,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49b3,28.711773,77.228116,12045,The mosque at Wazirabad,The mosque at Wazirabad,Wazirabad,North,Delhi,Delhi Mini Circle,DLMDL147.jpg,DLMDL147,DLM147
1270,monuments2.fid-3f3c22b6_1667d4434db_49b4,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49b4,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49b4,28.711777,77.228234,12046,The Tomb at Wazirabad,The Tomb at Wazirabad,Wazirabad,North,Delhi,Delhi Mini Circle,DLMDL146.jpg,DLMDL146,DLM147
1271,monuments2.fid-3f3c22b6_1667d4434db_49b5,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49b5,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49b5,28.596469,77.222959,12047,Old Lodi Bridge with approaches,Old Lodi Bridge with approaches,Lodi Garden,New Delhi,Delhi,Delhi Mini Circle,DLMDL072.jpg,DLMDL072,DLM072
1272,monuments2.fid-3f3c22b6_1667d4434db_49b6,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49b6,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49b6,29.571856,74.255903,10968,ANCIENT MOUNDS,ANCIENT MOUNDS,DHOKAL,HANUMANGARH,Rajasthan,Jodhpur Circle,JDHRJ052.JPG,JDHRJ052,
1273,monuments2.fid-3f3c22b6_1667d4434db_49b7,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49b7,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49b7,29.58605,74.325322,10969,FORT BHATNER,FORT BHATNER,HANUMANGARH,HANUMANGARH,Rajasthan,Jodhpur Circle,JDHRJ053.JPG,JDHRJ053,JDH_053
1274,monuments2.fid-3f3c22b6_1667d4434db_49b8,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49b8,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49b8,29.473611,74.13,10970,ANCIENT MOUNDS,ANCIENT MOUNDS,KALIBANGAN,HANUMANGARH,Rajasthan,Jodhpur Circle,JDHRJ054.JPG,JDHRJ054,JDH_054
1275,monuments2.fid-3f3c22b6_1667d4434db_49b9,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49b9,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49b9,29.364158,74.029142,10971,ANCIENT MOUNDS,ANCIENT MOUNDS,MANAK,HANUMANGARH,Rajasthan,Jodhpur Circle,JDHRJ055.JPG,JDHRJ055,
1276,monuments2.fid-3f3c22b6_1667d4434db_49ba,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49ba,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49ba,29.466389,74.401389,10972,ANCIENT MOUNDS,ANCIENT MOUNDS,MUNDA,HANUMANGARH,Rajasthan,Jodhpur Circle,JDHRJ056.JPG,JDHRJ056,
1277,monuments2.fid-3f3c22b6_1667d4434db_49bb,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49bb,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49bb,29.572639,74.485836,10973,ANCIENT MOUNDS,ANCIENT MOUNDS,PEER SULTAN,HANUMANGARH,Rajasthan,Jodhpur Circle,JDHRJ057.JPG,JDHRJ057,
1278,monuments2.fid-3f3c22b6_1667d4434db_49bc,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49bc,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49bc,29.497778,74.085,10974,ANCIENT MOUND,ANCIENT MOUND,PILIBANGAN,HANUMANGARH,Rajasthan,Jodhpur Circle,JDHRJ058.JPG,JDHRJ058,JDH_058
1279,monuments2.fid-3f3c22b6_1667d4434db_49bd,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49bd,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49bd,26.9125,70.9125,10975,FORT  ANCIENT TEMPLES,FORT  ANCIENT TEMPLES,JAISALMER,JAISALMER,Rajasthan,Jodhpur Circle,JDHRJ059.JPG,JDHRJ059,JDH_059
1280,monuments2.fid-3f3c22b6_1667d4434db_49be,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49be,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49be,26.985833,70.805,10976,ANCIENT SITE,ANCIENT SITE,LODRUVA,JAISALMER,Rajasthan,Jodhpur Circle,JDHRJ060.JPG,JDHRJ060,
1281,monuments2.fid-3f3c22b6_1667d4434db_49bf,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49bf,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49bf,25.068611,73.876111,10980,"INSCRIPTIONS, PAVILIONS AND TORANAS","INSCRIPTIONS, PAVILIONS AND TORANAS",RAJSAMAND,RAJSAMAND,Rajasthan,Jodhpur Circle,JDHRJ064.JPG,JDHRJ064,
1282,monuments2.fid-3f3c22b6_1667d4434db_49c0,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49c0,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49c0,24.886861,73.6925,10981,CHETAK SAMADHI,CHETAK SAMADHI,BALICHA,RAJSAMAND,Rajasthan,Jodhpur Circle,JDHRJ065.JPG,JDHRJ065,JDH_065
1283,monuments2.fid-3f3c22b6_1667d4434db_49c1,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49c1,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49c1,24.900139,73.716861,10982,BADSHAHI BAGH,BADSHAHI BAGH,KHAMNOR,RAJSAMAND,Rajasthan,Jodhpur Circle,JDHRJ066.JPG,JDHRJ066,JDH_066
1284,monuments2.fid-3f3c22b6_1667d4434db_49c2,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49c2,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49c2,24.894972,73.702139,10983,HALDIGHATI,HALDIGHATI,KHAMNOR,RAJSAMAND,Rajasthan,Jodhpur Circle,JDHRJ067.JPG,JDHRJ067,
1285,monuments2.fid-3f3c22b6_1667d4434db_49c3,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49c3,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49c3,24.920389,73.7195,10984,RAKTA TALAI,RAKTA TALAI,KHAMNOR,RAJSAMAND,Rajasthan,Jodhpur Circle,JDHRJ068.JPG,JDHRJ068,JDH_068
1286,monuments2.fid-3f3c22b6_1667d4434db_49c4,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49c4,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49c4,24.006842,73.754947,10985,ANCIENT RUINS,ANCIENT RUINS,KALYANPUR,UDAIPUR,Rajasthan,Jodhpur Circle,JDHRJ069.JPG,JDHRJ069,
1287,monuments2.fid-3f3c22b6_1667d4434db_49c5,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49c5,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49c5,24.735,73.716111,10986,SAS BAHU TEMPLE,SAS BAHU TEMPLE,NAGDA,UDAIPUR,Rajasthan,Jodhpur Circle,JDHRJ070.JPG,JDHRJ070,
1288,monuments2.fid-3f3c22b6_1667d4434db_49c6,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49c6,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49c6,24.177056,73.811278,10987,PALACE OF MAHARANA PRATAP,PALACE OF MAHARANA PRATAP,CHAVAND,UDAIPUR,Rajasthan,Jodhpur Circle,JDHRJ071.JPG,JDHRJ071,JDH_071
1289,monuments2.fid-3f3c22b6_1667d4434db_49c7,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49c7,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49c7,24.242779,73.962292,10988,HAWA MAHAL KNOWN AS ROOTHI RANI KA MAHAL,HAWA MAHAL KNOWN AS ROOTHI RANI KA MAHAL,VEERPURA,UDAIPUR,Rajasthan,Jodhpur Circle,JDHRJ072.JPG,JDHRJ072,JDH_072
1290,monuments2.fid-3f3c22b6_1667d4434db_49c8,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49c8,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49c8,24.238333,73.953889,10989,MAHAL KNOWN AS HAWA MAHAL,MAHAL KNOWN AS HAWA MAHAL,VEERPURA,UDAIPUR,Rajasthan,Jodhpur Circle,JDHRJ073.JPG,JDHRJ073,JDH_073
1291,monuments2.fid-3f3c22b6_1667d4434db_49c9,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49c9,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49c9,29.233548,73.581549,10990,ANCIENT MOUNDS,ANCIENT MOUNDS,MATHULA,GANGANAGAR,Rajasthan,Jodhpur Circle,JDHRJ047.JPG,JDHRJ047,
1292,monuments2.fid-3f3c22b6_1667d4434db_49ca,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49ca,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49ca,26.452353,74.637727,10924,TOMBS OF ABDULLA KHAN AND HIS WIFE,TOMBS OF ABDULLA KHAN AND HIS WIFE,Ajmer,Ajmer,Rajasthan,Jodhpur Circle,JDHRJ007.JPG,JDHRJ007,JDH_007
1293,monuments2.fid-3f3c22b6_1667d4434db_49cb,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49cb,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49cb,26.456225,74.627178,10925,TOMB OF ALLAUDDIN KHAN  SOLA THAMBA,TOMB OF ALLAUDDIN KHAN  SOLA THAMBA,Ajmer,Ajmer,Rajasthan,Jodhpur Circle,JDHRJ008.JPG,JDHRJ008,
1294,monuments2.fid-3f3c22b6_1667d4434db_49cc,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49cc,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49cc,26.456017,74.626783,10926,TRIPOLIA GATE,TRIPOLIA GATE,Ajmer,Ajmer,Rajasthan,Jodhpur Circle,JDHRJ009.JPG,JDHRJ009,JDH_009
1295,monuments2.fid-3f3c22b6_1667d4434db_49cd,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49cd,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49cd,26.477572,74.657764,10927,KOS MINAR,KOS MINAR,Ajmer,Ajmer,Rajasthan,Jodhpur Circle,JDHRJ010.JPG,JDHRJ010,
1296,monuments2.fid-3f3c22b6_1667d4434db_49ce,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49ce,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49ce,26.460722,74.633469,10928,MAGAZINE BUILDING,MAGAZINE BUILDING,Ajmer,Ajmer,Rajasthan,Jodhpur Circle,JDHRJ011.JPG,JDHRJ011,
1297,monuments2.fid-3f3c22b6_1667d4434db_49cf,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49cf,http://bhuvan5.nrsc.gov.in:80/bhuvan/asi/wms/reflect?format=application%2Fatom%2Bxml&layers=asi%3Amonuments2&featureid=monuments2.fid-3f3c22b6_1667d4434db_49cf,26.490797,74.676294,10929,KOS MINAR ERECTED BY EMPEROR AKBAR,KOS MINAR ERECTED BY EMPEROR AKBAR,Ajmer,Ajmer,Rajasthan,Jodhpur Circle,JDHRJ012.JPG,JDHRJ012,JDH_012
